Actual,Predicted
6795,6901
4357,6901
7293,6901
3900,6072
4387,6072
6583,6901
5556,5722
7548,6901
7575,6901
4696,6901
3049,6072
6569,6901
6770,6901
4166,6901
6862,6901
7005,6901
6503,6901
7969,6901
7007,6901
3998,6072
6826,6901
7616,6901
6707,6901
6235,6901
4248,6901
6521,6901
5538,4888
6397,6901
4802,6901
6109,6901
4789,5722
8090,6901
5005,4888
6626,6901
8605,6901
5154,4888
7071,6901
6598,6901
6696,6901
4870,6901
5424,6901
6117,6901
6493,6901
5898,6901
4234,5722
6480,6901
4125,6072
7298,6901
5033,6901
8212,6901
4393,6901
6182,6901
8489,6901
6226,6901
4999,6901
7016,6901
6255,6901
4947,5722
8173,6901
6392,6901
3471,6901
4560,6901
6643,6901
6030,6901
5333,6901
6443,6901
7183,6901
5948,5722
5449,6901
4042,6901
5004,6901
7884,6901
4163,5722
8408,6901
6754,6901
4924,5722
7639,6901
6580,6901
3511,6072
8166,6901
6449,5722
5628,5722
4808,6901
6614,6901
5674,6901
8711,6901
8134,6901
5504,6901
3943,6901
1945,5524
6180,6901
6735,6901
4936,6901
5942,6901
5807,6901
4705,5722
4945,5722
5388,5722
6292,6901
5322,6901
3182,5722
6771,6901
7690,6901
5336,5722
4057,5722
6236,6901
7267,6901
5830,6901
5009,6901
6325,6901
7441,6901
3723,6072
3866,6072
4254,6901
8007,6901
7555,6901
6979,6901
5548,6901
7219,6901
7425,6901
7858,6901
7172,6901
4926,6901
4745,6901
7510,6901
7428,6901
7162,6901
8116,6901
4489,6901
6188,6901
7713,6901
3983,6072
4162,6072
5347,6901
6318,6901
6368,6901
6315,6901
5429,4888
4356,4888
8538,6901
5221,4888
6327,6901
5192,6901
6731,6901
7243,6901
7669,6901
7570,6901
5086,6901
4575,6901
6691,6901
4813,6901
8284,6901
5700,6901
6920,6901
7560,6901
7835,6901
